Restaurant Name,City,Cuisines,Aggregate rating,Average Cost for two,value_score
Jung Bahadur Kachori Wala,New Delhi,Street Food,4.1,50,8.2
Sharma Kachoriwala,New Delhi,Street Food,3.7,50,7.4
Pakode Ki Dukaan,New Delhi,Street Food,3.6,50,7.2
Duggal Snacks,New Delhi,Street Food,3.6,50,7.2
Pandit Ved Prakash Lemon Wale,New Delhi,"Beverages, Street Food",3.2,50,6.4
Shri Ram Poori Wale,New Delhi,Street Food,2.8,50,5.6
Shahi Kachauri Wale,New Delhi,Street Food,2.8,50,5.6
Shahi Kachauri,New Delhi,Street Food,2.8,50,5.6
Aggarwal Confectionary,New Delhi,"Street Food, Bakery",2.8,50,5.6
Sita Ram Diwan Chand,New Delhi,Street Food,4.3,100,4.3
Cool Point,New Delhi,"Desserts, Beverages",4.2,100,4.2
Gurdas Ram Jalebi Wala,Amritsar,Mithai,4.1,100,4.1
Ashok Chaat Corner,New Delhi,Street Food,4.1,100,4.1
Kumar Samose Wala,New Delhi,Street Food,4.1,100,4.1
Ahuja Milk Bhandar,Amritsar,Beverages,4.0,100,4.0
